universe definition
gravity is 9.807
body B3743: mass 831.38, diameter 11.1944, position_x -5.71552e+07, position_y -1.27724e+07, velocity_x -264618, velocity_y -159135
body B6372: mass 802.605, diameter 11.5969, position_x -5.60003e+07, position_y -1.19293e+07, velocity_x -366140, velocity_y -140733
body B5069: mass 794.757, diameter 11.4222, position_x -5.75667e+07, position_y -1.33777e+07, velocity_x -218173, velocity_y -158581
body B911: mass 719.538, diameter 11.3635, position_x -5.37612e+07, position_y -1.56943e+07, velocity_x 1382.28, velocity_y 35763.4
body B9584: mass 1538.7, diameter 16.2961, position_x -5.49595e+07, position_y -1.16008e+07, velocity_x -464478, velocity_y -82616.5
body B703: mass 723.585, diameter 10.9949, position_x -5.49883e+07, position_y -1.56582e+07, velocity_x 20110.8, velocity_y 37123.7
body B4063: mass 764.997, diameter 10.6982, position_x -5.38251e+07, position_y -1.49215e+07, velocity_x 44100.8, velocity_y 136264
body B1770: mass 1473.65, diameter 16.3697, position_x -5.6284e+07, position_y -1.32089e+07, velocity_x -233201, velocity_y -212461
body B994: mass 780.48, diameter 11.3818, position_x -5.28585e+07, position_y -1.35216e+07, velocity_x -46136.3, velocity_y 360628
body B6935: mass 703.657, diameter 11.9234, position_x -5.7208e+07, position_y -1.28386e+07, velocity_x -257639, velocity_y -160913
body B8552: mass 740.118, diameter 10.7087, position_x -5.38097e+07, position_y -1.50066e+07, velocity_x 39600.7, velocity_y 129771
body B9210: mass 787.183, diameter 11.1608, position_x -5.77966e+07, position_y -1.39211e+07, velocity_x -184968, velocity_y -150244
body B5844: mass 742.238, diameter 11.0769, position_x -5.31117e+07, position_y -1.41168e+07, velocity_x 20800.4, velocity_y 260778
body B6287: mass 723.52, diameter 11.1319, position_x -5.78246e+07, position_y -1.43729e+07, velocity_x -157952, velocity_y -143761
body B3106: mass 728.982, diameter 11.7614, position_x -5.77795e+07, position_y -1.39363e+07, velocity_x -183414, velocity_y -151392
body B2791: mass 787.354, diameter 10.7881, position_x -5.28501e+07, position_y -1.26135e+07, velocity_x -294882, velocity_y 443628
body B6613: mass 795.905, diameter 11.4094, position_x -5.33506e+07, position_y -1.44782e+07, velocity_x 36891.2, velocity_y 203603
body B9932: mass 763.061, diameter 11.6431, position_x -5.6107e+07, position_y -1.20071e+07, velocity_x -358327, velocity_y -142060
body B303: mass 728.282, diameter 11.8784, position_x -5.41935e+07, position_y -1.53328e+07, velocity_x 33560.4, velocity_y 88426.6
body B7734: mass 793.537, diameter 11.633, position_x -5.6936e+07, position_y -1.25552e+07, velocity_x -284993, velocity_y -157639
body B5669: mass 780.014, diameter 11.1395, position_x -5.58928e+07, position_y -1.60898e+07, velocity_x -9729.23, velocity_y -15535.1
body B7277: mass 764.697, diameter 11.1276, position_x -5.7543e+07, position_y -1.52385e+07, velocity_x -106067, velocity_y -119476
body B6256: mass 757.111, diameter 11.1202, position_x -5.78688e+07, position_y -1.44474e+07, velocity_x -154803, velocity_y -139549
body B2670: mass 758.266, diameter 11.5033, position_x -5.7297e+07, position_y -1.2937e+07, velocity_x -251236, velocity_y -158925
body B2179: mass 722.999, diameter 11.5188, position_x -5.2958e+07, position_y -1.36722e+07, velocity_x -14090.2, velocity_y 339434
body B3697: mass 730.806, diameter 11.4253, position_x -5.78651e+07, position_y -1.42812e+07, velocity_x -164343, velocity_y -143123
body B1151: mass 757.831, diameter 12.3225, position_x -5.62734e+07, position_y -1.20685e+07, velocity_x -341741, velocity_y -148677
body B6618: mass 735.614, diameter 11.5976, position_x -5.73568e+07, position_y -1.30342e+07, velocity_x -242414, velocity_y -160720
body B1180: mass 812.227, diameter 11.2324, position_x -5.70165e+07, position_y -1.61621e+07, velocity_x -44592.6, velocity_y -58195.1
body B8554: mass 749.43, diameter 11.2847, position_x -5.69666e+07, position_y -1.57246e+07, velocity_x -68467.8, velocity_y -92697.9
body B1715: mass 752.297, diameter 11.4363, position_x -5.2866e+07, position_y -1.30983e+07, velocity_x -126491, velocity_y 441797
body B2441: mass 756.634, diameter 11.1758, position_x -5.64118e+07, position_y -1.21698e+07, velocity_x -331286, velocity_y -149705
body B619: mass 754.74, diameter 11.3666, position_x -5.67993e+07, position_y -1.244e+07, velocity_x -297411, velocity_y -155956
body B1848: mass 749.746, diameter 11.5641, position_x -5.68258e+07, position_y -1.57897e+07, velocity_x -61396, velocity_y -86350.6
body B3155: mass 740.488, diameter 11.859, position_x -5.61828e+07, position_y -1.6149e+07, velocity_x -18510.9, velocity_y -28080.1
body B819: mass 756.51, diameter 11.2643, position_x -5.72416e+07, position_y -1.28695e+07, velocity_x -256706, velocity_y -158941
body B7592: mass 754.856, diameter 11.1352, position_x -5.7239e+07, position_y -1.55584e+07, velocity_x -82837.5, velocity_y -103128
